Target,MAE,RMSE,R²,Forecast Horizon
Future_LAT,0.021685651030186447,0.12022658224080604,0.9997456391306191,1-Step
Future_LON,0.026251914148106723,0.3461643979696284,0.9996149773203508,1-Step
Future_LAT,0.0306975611933192,0.27114912189470336,0.9985985590623552,5-Step
Future_LON,0.028875486024448293,0.36008082657568763,0.9995493026393811,5-Step
